id,category,garhwali,hindi,english
1635,weather,आज धूप खूब छन।,आज धूप बहुत है।,It's very sunny today.
1636,emotion,आज खुश छूं।,आज मैं खुश हूँ।,I am happy today.
1637,home,भात बणाई दे।,भात बना दो।,Cook the rice.
1638,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
1639,home,भात बणाई दे।,भात बना दो।,Cook the rice.
1640,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
1641,emotion,आज खुश छूं।,आज मैं खुश हूँ।,I am happy today.
1642,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
1643,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
1644,school,होमवर्क कर ल्यो?,होमवर्क कर लिया?,Did you finish your homework?
1645,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
1646,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
1647,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
1648,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
1649,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
1650,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
1651,emotion,आज खुश छूं।,आज मैं खुश हूँ।,I am happy today.
1652,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
1653,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
1654,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
1655,market,दुकान कभ खुलली?,दुकान कब खुलेगी?,When will the shop open?
1656,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
1657,home,भात बणाई दे।,भात बना दो।,Cook the rice.
1658,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
1659,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
1660,food,चाय बनाई दे।,चाय बना दो।,Make tea.
1661,work,लैपटॉप ठिक कर दे।,लैपटॉप ठीक कर दो।,Fix the laptop.
1662,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
1663,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
1664,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
1665,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
1666,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
